miRNA	miRNAp
hsa-mir-200b	hsa-mir-200b-3p
hsa-mir-200a	hsa-mir-200a-3p
hsa-mir-429	hsa-mir-429
hsa-mir-551a	hsa-mir-551a
hsa-mir-34a	hsa-mir-34a-5p
hsa-mir-378f	hsa-mir-378f
hsa-mir-30e	hsa-mir-30e-5p
hsa-mir-30c	hsa-mir-30c-5p
hsa-mir-761	hsa-mir-761
hsa-mir-101	hsa-mir-101-3p
hsa-mir-186	hsa-mir-186-5p
hsa-mir-137	hsa-mir-137
hsa-mir-197	hsa-mir-197-3p
hsa-mir-320b	hsa-mir-320b
hsa-mir-3118	hsa-mir-3118
hsa-mir-190b	hsa-mir-190b
hsa-mir-92b	hsa-mir-92b-3p
hsa-mir-9	hsa-mir-9-5p
hsa-mir-214	hsa-mir-214-3p
hsa-mir-199a	hsa-mir-199a-5p
hsa-mir-488	hsa-mir-488-3p
hsa-mir-4735	hsa-mir-4735-3p
hsa-mir-181b	hsa-mir-181b-5p
hsa-mir-181a	hsa-mir-181a-5p
hsa-mir-135b	hsa-mir-135b-5p
hsa-mir-29c	hsa-mir-29c-3p
hsa-mir-29b	hsa-mir-29b-3p
hsa-mir-205	hsa-mir-205-5p
hsa-mir-215	hsa-mir-215-5p
hsa-mir-194	hsa-mir-194-5p
hsa-mir-346	hsa-mir-346
hsa-mir-107	hsa-mir-107
hsa-mir-146b	hsa-mir-146b-5p
hsa-mir-4295	hsa-mir-4295
hsa-mir-378c	hsa-mir-378c
hsa-mir-202	hsa-mir-202-3p
hsa-mir-210	hsa-mir-210-3p
hsa-mir-302e	hsa-mir-302e
hsa-mir-129	hsa-mir-129-5p
hsa-mir-130a	hsa-mir-130a-3p
hsa-mir-192	hsa-mir-192-5p
hsa-mir-139	hsa-mir-139-5p
hsa-mir-326	hsa-mir-326
hsa-mir-708	hsa-mir-708-5p
hsa-mir-34c	hsa-mir-34c-5p
hsa-mir-125b	hsa-mir-125b-5p
hsa-let-7a	hsa-let-7a-5p
hsa-mir-100	hsa-mir-100-5p
hsa-mir-3167	hsa-mir-3167
hsa-mir-200c	hsa-mir-200c-3p
hsa-mir-141	hsa-mir-141-3p
hsa-mir-613	hsa-mir-613
hsa-mir-196a	hsa-mir-196a-5p
hsa-mir-615	hsa-mir-615-3p
hsa-mir-148b	hsa-mir-148b-3p
hsa-mir-26a	hsa-mir-26a-5p
hsa-let-7i	hsa-let-7i-5p
hsa-mir-135a	hsa-mir-135a-5p
hsa-mir-320d	hsa-mir-320d
hsa-mir-16	hsa-mir-16-5p
hsa-mir-15a	hsa-mir-15a-5p
hsa-mir-1297	hsa-mir-1297
hsa-mir-4500	hsa-mir-4500
hsa-mir-17	hsa-mir-17-5p
hsa-mir-18a	hsa-mir-18a-5p
